### TABLE 00a4e7b8 n=114
00a4ecd4 set_filter_pass_constant                     fn=0078bab0 dev=0
00a4ece0 set_overlay_enabled                          fn=0078bdd0 dev=0
00a4ecec set_overlay_material                         fn=0078bba0 dev=0
00a4ecf8 set_overlay_constant                         fn=0078bc80 dev=0
00a4ed04 setinfraredvisionset                         fn=0078bd40 dev=0
### TABLE 00a52058 n=115
00a52058 startscriptedanim                            fn=007c98f0 dev=0
00a52064 startcoverarrival                            fn=007c9a60 dev=0
00a52070 starttraversearrival                         fn=007c9aa0 dev=0
00a5207c checkcoverexitposwithpath                    fn=007c9ae0 dev=0
00a52088 shoot                                        fn=007c9b50 dev=0
00a52094 shootblank                                   fn=007c9c20 dev=0
00a520a0 stopshoot                                    fn=007c9cb0 dev=0
00a520ac melee                                        fn=007c9cf0 dev=0
00a520b8 updateplayersightaccuracy                    fn=007c9d70 dev=0
00a520c4 findcovernode                                fn=007c9de0 dev=0
00a520d0 findbestcovernode                            fn=007c9e20 dev=0
00a520dc getcovernode                                 fn=007c9e70 dev=0
00a520e8 usecovernode                                 fn=007c9ec0 dev=0
00a520f4 reacquirestep                                fn=007c9f60 dev=0
00a52100 findreacquirenode                            fn=007c9fc0 dev=0
00a5210c getreacquirenode                             fn=007ca000 dev=0
00a52118 usereacquirenode                             fn=007ca050 dev=0
00a52124 findreacquiredirectpath                      fn=007ca0d0 dev=0
00a52130 trimpathtoattack                             fn=007ca1b0 dev=0
00a5213c reacquiremove                                fn=007ca220 dev=0
00a52148 findreacquireproximatepath                   fn=007ca140 dev=0
00a52154 flagenemyunattackable                        fn=007ca290 dev=0
00a52160 setaimanims                                  fn=007ca2d0 dev=0
00a5216c aimatpos                                     fn=007ca380 dev=0
00a52178 enterprone                                   fn=007ca610 dev=0
00a52184 exitprone                                    fn=007ca6c0 dev=0
00a52190 setproneanimnodes                            fn=007ca720 dev=0
00a5219c updateprone                                  fn=007ca820 dev=0
00a521a8 clearpitchorient                             fn=007ca940 dev=0
00a521b4 setlookatanimnodes                           fn=007ca990 dev=0
00a521c0 setlookat                                    fn=007caa00 dev=0
00a521cc setlookatyawlimits                           fn=007caaa0 dev=0
00a521d8 stoplookat                                   fn=007cab20 dev=0
00a521e4 canshoot                                     fn=007caba0 dev=0
00a521f0 cansee                                       fn=007cace0 dev=0
00a521fc dropweapon                                   fn=007cae50 dev=0
00a52208 maymovetopoint                               fn=007ceae0 dev=0
00a52214 maymovefrompointtopoint                      fn=007cebe0 dev=0
