coolWhileFiring                    off=0x0144 type=4
tankLifeTime                       off=0x0148 type=8
damageDuration                     off=0x0444 type=7
playerDamage                       off=0x044c type=4
minDamage                          off=0x0884 type=4
maxDamageRange                     off=0x088c type=7
destabilizationRateTime            off=0x0894 type=7
destabilizeDistance                off=0x089c type=4
meleeDelay                         off=0x0460 type=8
spinUpTime                         off=0x046c type=8
spinRate                           off=0x0474 type=7
spinLoopSoundPlayer                off=0x047c type=0
startSpinSoundPlayer               off=0x0484 type=0
stopSpinSoundPlayer                off=0x048c type=0
lastFireTime                       off=0x0494 type=8
rechamberBoltTime                  off=0x049c type=8
detonateTime                       off=0x04a4 type=8
meleeTime                          off=0x04a8 type=8
reloadTime                         off=0x0024 type=8
reloadEmptyTime                    off=0x0028 type=8
reloadEmptyAddTime                 off=0x04c4 type=8
reloadQuickEmptyAddTime            off=0x04cc type=8
reloadStartAddTime                 off=0x04d4 type=8
reloadQuickTime                    off=0x002c type=8
dropTime                           off=0x04dc type=8
altDropTime                        off=0x04e4 type=8
quickDropTime                      off=0x04e8 type=8
firstRaiseTime                     off=0x04f0 type=8
emptyDropTime                      off=0x04f8 type=8
sprintLoopTime                     off=0x0500 type=8
lowReadyInTime                     off=0x0508 type=8
lowReadyOutTime                    off=0x0510 type=8
contFireLoopTime                   off=0x0518 type=8
dtpInTime                          off=0x0520 type=8
dtpOutTime                         off=0x0528 type=8
deployTime                         off=0x0530 type=8
tracerFrequency                    off=0x0128 type=4
tracerLength                       off=0x0130 type=7
nightVisionWearTimeFadeOutEnd      off=0x053c type=8
nightVisionRemoveTime              off=0x0544 type=8
nightVisionRemoveTimeFadeInStart   off=0x054c type=8
aifuseTime                         off=0x0554 type=8
lockOnSpeed                        off=0x055c type=4
noAdsWhenMagEmpty                  off=0x0561 type=5
stackFire                          off=0x0564 type=4
stackFireAccuracyDecay             off=0x056c type=7
autoAimRange                       off=0x0574 type=7
aimAssistRangeAds                  off=0x0050 type=7
aimPadding                         off=0x0580 type=7
crosshairColorChange               off=0x0588 type=5
adsMoveSpeedScale                  off=0x0590 type=7
idleCrouchFactor                   off=0x05f4 type=7
gunMaxPitch                        off=0x05fc type=7
swayMaxAngle                       off=0x0604 type=7
swayPitchScale                     off=0x060c type=7
swayHorizScale                     off=0x0614 type=7
swayShellShockScale                off=0x061c type=7
adsSwayLerpSpeed                   off=0x0624 type=7
adsSwayYawScale                    off=0x062c type=7
adsSwayVertScale                   off=0x0058 type=7
rifleBullet                        off=0x0631 type=5
boltAction                         off=0x0633 type=5
useAntiLagRewind                   off=0x0635 type=5
aimDownSight                       off=0x0637 type=5
reloadWhileAds                     off=0x0639 type=5
adsViewErrorMax                    off=0x0640 type=7
canUseInVehicle                    off=0x0646 type=5
cookOffHold                        off=0x0644 type=5
cancelAutoHolsterWhenEmpty         off=0x0649 type=5
laserSightDuringNightvision        off=0x064b type=5
dualWield                          off=0x064e type=5
explodeOnGround                    off=0x064f type=5
retrievable                        off=0x0651 type=5
noThirdPersonDropsOrRaises         off=0x0653 type=5
fullMetalJacket                    off=0x0086 type=5
useAsMelee                         off=0x0730 type=5
noPing                             off=0x0655 type=5
useDroppedModelAsStowed            off=0x0657 type=5
keepCrosshairWhenADS               off=0x0659 type=5
killIcon                           off=0x065c type=11
flipKillIcon                       off=0x0664 type=5
dpadIconRatio                      off=0x0098 type=38
segmentedReload                    off=0x0666 type=5
reloadAmmoAdd                      off=0x0668 type=4
altWeapon                          off=0x0014 type=0
grenadeWeapon                      off=0x0670 type=0
dropAmmoMax                        off=0x0680 type=4
dropClipAmmoMax                    off=0x0688 type=4
silenced                           off=0x0084 type=5
isRollingGrenade                   off=0x0690 type=6
explosionRadius                    off=0x0694 type=4
indicatorRadius                    off=0x069c type=4
explosionOuterDamage               off=0x06a4 type=4
projectileSpeed                    off=0x06ac type=4
projectileSpeedUp                  off=0x06b0 type=4
projectileActivateDist             off=0x06bc type=4
timeToAccelerate                   off=0x06c4 type=7
projectileModel                    off=0x06cc type=10
projExplosionEffect                off=0x06d4 type=9
projExplosionEffect2               off=0x06dc type=9
projExplosionEffect3               off=0x06e4 type=9
projExplosionEffect4               off=0x06ec type=9
projExplosionEffect5               off=0x06f4 type=9
projExplosionSound                 off=0x0700 type=0
projDudSound                       off=0x0704 type=0
bulletImpactExplode                off=0x0711 type=5
tankShellSound                     off=0x070c type=0
rotateType                         off=0x0718 type=29
plantable                          off=0x071c type=5
noCrumpleMissile                   off=0x071f type=5
keepRolling                        off=0x0721 type=5
offhandHoldIsCancelable            off=0x0723 type=5
lowAmmoWarningThreshold            off=0x0728 type=7
isCameraSensor                     off=0x0731 type=5
parallelDefaultBounce              off=0x0b04 type=7
parallelBarkBounce                 off=0x0b08 type=7
parallelCarpetBounce               off=0x0b10 type=7
parallelClothBounce                off=0x0b14 type=7
parallelCushionBounce              off=0x0b6c type=7
parallelFleshBounce                off=0x0b20 type=7
parallelFruitBounce                off=0x0b70 type=7
parallelGrassBounce                off=0x0b2c type=7
parallelIceBounce                  off=0x0b34 type=7
parallelMudBounce                  off=0x0b3c type=7
parallelPaperBounce                off=0x0b40 type=7
parallelPlasticBounce              off=0x0b64 type=7
parallelRubberBounce               off=0x0b68 type=7
parallelSnowBounce                 off=0x0b50 type=7
parallelWoodBounce                 off=0x0b58 type=7
perpendicularAsphaltBounce         off=0x0bd8 type=7
perpendicularBrickBounce           off=0x0b88 type=7
perpendicularCeramicBounce         off=0x0bdc type=7
perpendicularConcreteBounce        off=0x0b94 type=7
perpendicularDirtBounce            off=0x0b98 type=7
perpendicularFoliageBounce         off=0x0ba0 type=7
perpendicularGlassBounce           off=0x0ba4 type=7
perpendicularGravelBounce          off=0x0bac type=7
perpendicularMetalBounce           off=0x0bb4 type=7
perpendicularPaintedMetalBounce    off=0x0bf0 type=7
perpendicularPlasterBounce         off=0x0bc0 type=7
perpendicularRockBounce            off=0x0bc4 type=7
perpendicularSandBounce            off=0x0bc8 type=7
perpendicularWaterBounce           off=0x0bd0 type=7
projTrailEffect                    off=0x073c type=9
projectileGreen                    off=0x0744 type=7
guidedMissileType                  off=0x074c type=26
projIgnitionDelay                  off=0x0754 type=4
projIgnitionSound                  off=0x075c type=0
tagFlash_preparationEffect         off=0x08e0 type=9
adsTransOutTime                    off=0x0038 type=8
adsIdleSpeed                       off=0x05ec type=7
adsZoomFov2                        off=0x0068 type=7
adsZoomInFrac                      off=0x0070 type=7
adsOverlayShader                   off=0x008c type=12
adsOverlayReticle                  off=0x0598 type=17
adsOverlayWidth                    off=0x05a0 type=7
adsOverlayAlphaScale               off=0x0078 type=7
adsViewBobMult                     off=0x05ac type=7
adsCrosshairInFrac                 off=0x0764 type=7
adsReloadTransTime                 off=0x0820 type=8
adsGunKickReducedKickPercent       off=0x0770 type=7
adsGunKickPitchMax                 off=0x0778 type=7
adsGunKickYawMax                   off=0x0780 type=7
adsGunKickSpeedMax                 off=0x0788 type=7
adsGunKickStaticDecay              off=0x0790 type=7
adsViewKickPitchMax                off=0x0798 type=7
adsViewKickYawMax                  off=0x07a0 type=7
adsSpread                          off=0x07ac type=7
hipSpreadStandMin                  off=0x05b0 type=7
hipSpreadProneMin                  off=0x05b8 type=7
hipSpreadDuckedMax                 off=0x05c0 type=7
hipSpreadDecayRate                 off=0x05c8 type=7
hipSpreadTurnAdd                   off=0x05d0 type=7
hipSpreadDuckedDecay               off=0x05d8 type=7
hipReticleSidePos                  off=0x05e0 type=7
hipIdleSpeed                       off=0x05f0 type=7
hipGunKickReducedKickPercent       off=0x07b4 type=7
hipGunKickPitchMax                 off=0x07bc type=7
hipGunKickYawMax                   off=0x07c4 type=7
hipGunKickSpeedMax                 off=0x07cc type=7
hipGunKickStaticDecay              off=0x07d4 type=7
hipViewKickPitchMax                off=0x07dc type=7
hipViewKickYawMax                  off=0x07e4 type=7
leftArc                            off=0x0824 type=7
topArc                             off=0x082c type=7
accuracy                           off=0x0834 type=7
playerSpread                       off=0x083c type=7
maxHorTurnSpeed                    off=0x084c type=7
minHorTurnSpeed                    off=0x0844 type=7
yawConvergenceTime                 off=0x0854 type=7
maxRange                           off=0x085c type=7
playerPositionDist                 off=0x0864 type=7
useHintString                      off=0x0868 type=0
horizViewJitter                    off=0x0878 type=7
fightDist                          off=0x07f0 type=7
aiVsAiAccuracyGraph                off=0x07f8 type=0
locNone                            off=0x0bfc type=7
locHead                            off=0x0c04 type=7
locTorsoUpper                      off=0x0c0c type=7
locRightArmUpper                   off=0x0c14 type=7
locRightHand                       off=0x0c24 type=7
locLeftArmLower                    off=0x0c20 type=7
locRightLegUpper                   off=0x0c2c type=7
locRightFoot                       off=0x0c3c type=7
locLeftLegLower                    off=0x0c38 type=7
locGun                             off=0x0c44 type=7
meleeImpactRumble                  off=0x08a8 type=0
adsDofStart                        off=0x08b0 type=7
scanSpeed                          off=0x08c0 type=7
scanPauseTime                      off=0x08c8 type=8
flameTableThirdPerson              off=0x08d0 type=0
ikLeftHandOffsetR                  off=0x00a0 type=7
ikLeftHandRotationP                off=0x00a8 type=7
ikLeftHandRotationR                off=0x00b0 type=7
ikLeftHandProneOffsetR             off=0x00b8 type=7
ikLeftHandProneRotationP           off=0x00c0 type=7
ikLeftHandProneRotationR           off=0x00c8 type=7
ikLeftHandUiViewerOffsetR          off=0x00d0 type=7
ikLeftHandUiViewerRotationP        off=0x00d8 type=7
ikLeftHandUiViewerRotationR        off=0x00e0 type=7
doGibbing                          off=0x08e4 type=5
flameVar_streamChunkGravityStart   off=0x0000 type=7
flameVar_streamChunkMaxSize        off=0x0008 type=7
flameVar_streamChunkEndSize        off=0x0010 type=7
flameVar_streamChunkEndSizeRand    off=0x0018 type=7
flameVar_streamChunkDistSwayScale  off=0x0020 type=7
flameVar_streamChunkSpeed          off=0x0028 type=7
flameVar_streamChunkVelocityAddScale off=0x0030 type=7
flameVar_streamChunkDurationScaleMaxVel off=0x0038 type=7
flameVar_streamChunkSizeSpeedScale off=0x0040 type=7
flameVar_streamChunkSpawnFireIntervalStart off=0x0048 type=7
flameVar_streamChunkSpawnFireMinLifeFrac off=0x0050 type=7
flameVar_streamChunkFireMinLifeFrac off=0x0058 type=7
flameVar_streamChunkFireMinLifeFracEnd off=0x0060 type=7
flameVar_streamChunkDripsMinLifeFracStart off=0x0068 type=7
flameVar_streamChunkRotationRange  off=0x0070 type=7
flameVar_streamSizeRandCosWave     off=0x0078 type=7
flameVar_streamDripsChunkMinFrac   off=0x0080 type=7
flameVar_streamSmokeChunkInterval  off=0x0088 type=7
flameVar_streamSmokeChunkRandFrac  off=0x0090 type=7
flameVar_streamChunkCullMinLife    off=0x0098 type=7
flameVar_streamFuelSizeStart       off=0x00a0 type=7
flameVar_streamFuelLength          off=0x00a8 type=7
flameVar_streamFuelAnimLoopTime    off=0x00b0 type=7
flameVar_streamFlameSizeEnd        off=0x00b8 type=7
flameVar_streamFlameNumSegments    off=0x00c0 type=7
flameVar_streamPrimaryLightRadius  off=0x00c8 type=7
flameVar_streamPrimaryLightR       off=0x00d0 type=7
flameVar_streamPrimaryLightB       off=0x00d8 type=7
flameVar_streamPrimaryLightFlutterG off=0x00e0 type=7
flameVar_fireLife                  off=0x00e8 type=7
flameVar_fireSpeedScale            off=0x00f0 type=7
flameVar_fireVelocityAddZ          off=0x00f8 type=7
flameVar_fireVelocityAddSideways   off=0x0100 type=7
flameVar_fireGravityEnd            off=0x0108 type=7
flameVar_fireFriction              off=0x0110 type=7
flameVar_fireStartSizeScale        off=0x0118 type=7
flameVar_dripsLife                 off=0x0120 type=7
flameVar_dripsSpeedScale           off=0x0128 type=7
flameVar_dripsVelocityAddZ         off=0x0130 type=7
flameVar_dripsVelocityAddSideways  off=0x0138 type=7
flameVar_dripsGravityEnd           off=0x0140 type=7
flameVar_dripsFriction             off=0x0148 type=7
flameVar_dripsStartSizeScale       off=0x0150 type=7
flameVar_smokeLife                 off=0x0158 type=7
flameVar_smokeSpeedScale           off=0x0160 type=7
flameVar_smokeGravity              off=0x0168 type=7
flameVar_smokeMaxRotation          off=0x0170 type=7
flameVar_smokeFriction             off=0x0178 type=7
flameVar_smokeStartSizeAdd         off=0x0180 type=7
flameVar_smokeOriginOfsZ           off=0x0188 type=7
flameVar_smokeFadeout              off=0x0190 type=7
flameVar_smokeBrightness           off=0x0198 type=7
flameVar_collisionSpeedScale       off=0x01a0 type=7
name                               off=0x01a8 type=0
smoke                              off=0x01b0 type=11
drips                              off=0x01b8 type=11
streamFuel2                        off=0x01c0 type=11
streamFlame2                       off=0x01c8 type=11
flameIgniteSound                   off=0x01d0 type=0
flameCooldownSound                 off=0x01d8 type=0
